index,artist_all,artist_base,rank,song,year,artist_featured
1,four tops,four tops,2,i can't help myself (sugar pie honey bunch),1965,
2,the rolling stones,the rolling stones,3,(i can't get no) satisfaction,1965,
3,we five,we five,4,you were on my mind,1965,
4,the righteous brothers,the righteous brothers,5,you've lost that lovin' feelin',1965,
5,petula clark,petula clark,6,downtown,1965,
6,the beatles,the beatles,7,help!,1965,
7,herman's hermits,herman's hermits,8,can't you hear my heartbeat,1965,
8,elvis presley,elvis presley,9,crying in the chapel,1965,
9,the temptations,the temptations,10,my girl,1965,
10,the beach boys,the beach boys,11,"help me, rhonda",1965,
11,roger miller,roger miller,12,king of the road,1965,
12,jewel akens,jewel akens,13,the birds and the bees,1965,
13,mel carter,mel carter,14,"hold me, thrill me, kiss me",1965,
14,junior walker & the all stars,junior walker,15,shotgun,1965,
15,sonny & cher,sonny & cher,16,i got you babe,1965,
16,gary lewis & the playboys,gary lewis & the playboys,17,this diamond ring,1965,
17,ramsey lewis trio,ramsey lewis,18,the 'in' crowd,1965,
18,herman's hermits,herman's hermits,19,"mrs. brown, you've got a lovely daughter",1965,
19,the supremes,the supremes,20,stop! in the name of love,1965,
20,the righteous brothers,the righteous brothers,21,unchained melody,1965,
21,herman's hermits,herman's hermits,22,silhouettes,1965,
22,the seekers,the seekers,23,i'll never find another you,1965,
23,jay and the americans,jay and the americans,24,cara mia,1965,
24,the byrds,the byrds,25,mr. tambourine man,1965,
25,sounds orchestral,sounds orchestral,26,cast your fate to the wind,1965,
26,barbara mason,barbara mason,27,"yes, i'm ready",1965,
27,tom jones,tom jones,28,what's new pussycat?,1965,
28,barry mcguire,barry mcguire,29,eve of destruction,1965,
29,the mccoys,the mccoys,30,hang on sloopy,1965,
30,the beatles,the beatles,31,ticket to ride,1965,
31,bert kaempfert,bert kaempfert,32,red roses for a blue lady,1965,
32,james brown,james brown,33,papa's got a brand new bag,1965,
33,wayne fontana  &  the mindbenders,wayne fontana,34,game of love,1965,
34,shirley ellis,shirley ellis,35,the name game,1965,
35,petula clark,petula clark,36,i know a place,1965,
36,the supremes,the supremes,37,back in my arms again,1965,
37,barbara lewis,barbara lewis,38,baby i'm yours,1965,
38,the kingsmen,the kingsmen,39,the jolly green giant,1965,
39,patti page,patti page,40,"hush, hush, sweet charlotte",1965,
40,bob dylan,bob dylan,41,like a rolling stone,1965,
41,freddie and the dreamers,freddie and the dreamers,42,i'm telling you now,1965,
42,gerry and the pacemakers,gerry and the pacemakers,43,ferry cross the mersey,1965,
43,the righteous brothers,the righteous brothers,44,just once in my life,1965,
44,johnny rivers,johnny rivers,45,the seventh son,1965,
45,herman's hermits,herman's hermits,46,"i'm henry the eighth, i am",1965,
46,horst jankowski,horst jankowski,47,a walk in the black forest,1965,
47,the yardbirds,the yardbirds,48,for your love,1965,
48,the beach boys,the beach boys,49,california girls,1965,
49,the moody blues,the moody blues,50,go now,1965,
50,shirley bassey,shirley bassey,51,goldfinger,1965,
51,billy joe royal,billy joe royal,52,down in the boondocks,1965,
52,glenn yarbrough,glenn yarbrough,53,baby the rain must fall,1965,
53,the dave clark five,the dave clark five,54,catch us if you can,1965,
54,the beatles,the beatles,55,eight days a week,1965,
55,the beau brummels,the beau brummels,56,just a little,1965,
56,ian whitcomb,ian whitcomb,57,you turn me on,1965,
57,marvin gaye,marvin gaye,58,i'll be doggone,1965,
58,gary lewis & the playboys,gary lewis & the playboys,59,save your heart for me,1965,
59,the kinks,the kinks,60,tired of waiting for you,1965,
60,gary lewis & the playboys,gary lewis & the playboys,61,count me in,1965,
61,the kinks,the kinks,62,all day and all of the night,1965,
62,jackie deshannon,jackie deshannon,63,what the world needs now is love,1965,
63,tom jones,tom jones,64,it's not unusual,1965,
64,sir douglas quintet,sir douglas quintet,65,she's about a mover,1965,
65,sam cooke,sam cooke,66,shake,1965,
66,herman's hermits,herman's hermits,67,wonderful world,1965,
67,martha and the vandellas,martha and the vandellas,68,nowhere to run,1965,
68,the yardbirds,the yardbirds,69,heart full of soul,1965,
69,the searchers,the searchers,70,love potion no. 9,1965,
70,dickey lee,dickey lee,71,laurie (strange things happen),1965,
71,sonny & cher,sonny & cher,72,baby don't go,1965,
72,the turtles,the turtles,73,it ain't me babe,1965,
73,the zombies,the zombies,74,tell her no,1965,
74,peter and gordon,peter and gordon,75,i go to pieces,1965,
75,vic dana,vic dana,76,red roses for a blue lady,1965,
76,patty duke,patty duke,77,don't just stand there,1965,
77,the miracles,the miracles,78,the tracks of my tears,1965,
78,brenda lee,brenda lee,79,too many rivers,1965,
79,the dave clark five,the dave clark five,80,i like it like that,1965,
80,bobby goldsboro,bobby goldsboro,81,little things,1965,
81,peter and gordon,peter and gordon,82,true love ways,1965,
82,four tops,four tops,83,it's the same old song,1965,
83,the fortunes,the fortunes,84,you've got your troubles,1965,
84,joe tex,joe tex,85,hold what you've got,1965,
85,the animals,the animals,86,we gotta get out of this place,1965,
86,the beau brummels,the beau brummels,87,"laugh, laugh",1965,
87,the rolling stones,the rolling stones,88,the last time,1965,
88,the lovin' spoonful,the lovin' spoonful,89,do you believe in magic,1965,
89,cher,cher,90,all i really want to do,1965,
90,little anthony and the imperials,little anthony and the imperials,91,take me back,1965,
91,the strangeloves,the strangeloves,92,i want candy,1965,
92,the miracles,the miracles,93,ooo baby baby,1965,
93,sonny,sonny bono,94,laugh at me,1965,
94,roy head,roy head,95,treat her right,1965,
95,jack jones,jack jones,96,the race is on,1965,
96,"dino, desi & billy","dino, desi & billy",97,i'm a fool,1965,
97,the ad libs,the ad libs,98,the boy from new york city,1965,
98,del shannon,del shannon,99,keep searchin' (we'll follow the sun),1965,
99,marvin gaye,marvin gaye,100,how sweet it is (to be loved by you),1965,
0,the mamas & the papas,the mamas & the papas,1,california dreamin',1966,
1,? and the mysterians,? and the mysterians,2,96 tears,1966,
2,jimmy ruffin,jimmy ruffin,3,what becomes of the brokenhearted,1966,
3,the monkees,the monkees,4,last train to clarksville,1966,
4,four tops,four tops,5,reach out i'll be there,1966,
5,nancy sinatra,nancy sinatra,6,these boots are made for walkin',1966,
6,the association,the association,7,cherish,1966,
7,frank sinatra,frank sinatra,8,strangers in the night,1966,
8,paul revere & the raiders,paul revere & the raiders,9,kicks,1966,
9,ssgt. barry sadler,barry sadler,10,ballad of the green berets,1966,
10,the young rascals,the rascals,11,good lovin',1966,
11,the righteous brothers,the righteous brothers,12,(you're my) soul and inspiration,1966,
12,the supremes,the supremes,13,you can't hurry love,1966,
13,bobby hebb,bobby hebb,14,sunny,1966,
14,the happenings,the happenings,15,see you in september,1966,
15,sam the sham and the pharaohs,sam the sham,16,li'l red riding hood,1966,
16,lou christie,lou christie,17,lightnin' strikes,1966,
17,johnny rivers,johnny rivers,18,poor side of town,1966,
18,lee dorsey,lee dorsey,19,working in the coal mine,1966,
19,the mindbenders,the mindbenders,20,a groovy kind of love,1966,
20,dusty springfield,dusty springfield,21,you don't have to say you love me,1966,
21,donovan,donovan,22,sunshine superman,1966,
22,sandy posey,sandy posey,23,born a woman,1966,
23,the mamas & the papas,the mamas & the papas,24,"monday, monday",1966,
24,the cyrkle,the cyrkle,25,red rubber ball,1966,
25,roger williams,roger williams,26,born free,1966,
26,the left banke,the left banke,27,walk away renée,1966,
27,the capitols,the capitols,28,cool jerk,1966,
28,carla thomas,carla thomas,29,b-a-b-y,1966,
29,tommy james and the shondells,tommy james and the shondells,30,hanky panky,1966,
30,percy sledge,percy sledge,31,when a man loves a woman,1966,
31,the outsiders,the outsiders,32,time won't let me,1966,
32,the hollies,the hollies,33,bus stop,1966,
33,the rolling stones,the rolling stones,34,"paint it, black",1966,
34,the lovin' spoonful,the lovin' spoonful,35,summer in the city,1966,
35,b. j. thomas & the triumphs,b. j. thomas,36,i'm so lonesome i could cry,1966,
36,petula clark,petula clark,37,my love,1966,
37,the lovin' spoonful,the lovin' spoonful,38,daydream,1966,
38,the temptations,the temptations,39,ain't too proud to beg,1966,
39,the troggs,the troggs,40,wild thing,1966,
40,bob lind,bob lind,41,elusive butterfly,1966,
41,simon & garfunkel,simon & garfunkel,42,i am a rock,1966,
42,the standells,the standells,43,dirty water,1966,
43,tommy roe,tommy roe,44,hooray for hazel,1966,
44,ray charles,ray charles,45,crying time,1966,
45,tommy roe,tommy roe,46,sweet pea,1966,
46,johnny rivers,johnny rivers,47,secret agent man,1966,
47,the lovin' spoonful,the lovin' spoonful,48,did you ever have to make up your mind?,1966,
48,the beatles,the beatles,49,we can work it out,1966,
49,simon & garfunkel,simon & garfunkel,50,homeward bound,1966,
50,stevie wonder,stevie wonder,51,uptight (everything's alright),1966,
51,cher,cher,52,bang bang (my baby shot me down),1966,
52,the beach boys,the beach boys,53,sloop john b,1966,
53,the rolling stones,the rolling stones,54,19th nervous breakdown,1966,
54,the surfaris,the surfaris,55,wipe out,1966,
55,count five,count five,56,psychotic reaction,1966,
56,the beatles,the beatles,57,paperback writer,1966,
57,the temptations,the temptations,58,beauty is only skin deep,1966,
58,the t-bones,the t-bones,59,no matter what shape (your stomach's in),1966,
59,robert parker,robert parker,60,barefootin,1966,
60,paul revere & the raiders,paul revere & the raiders,61,just like me,1966,
61,deon jackson,deon jackson,62,love makes the world go round,1966,
62,crispian st. peters,crispian st. peters,63,the pied piper,1966,
63,ray conniff singers,ray conniff singers,64,somewhere my love,1966,
64,david houston,david houston,65,almost persuaded,1966,
65,bobby darin,bobby darin,66,if i were a carpenter,1966,
66,the marvelettes,the marvelettes,67,don't mess with bill,1966,
67,neil diamond,neil diamond,68,"cherry, cherry",1966,
68,dionne warwick,dionne warwick,69,message to michael,1966,
69,lou rawls,lou rawls,70,love is a hurtin' thing,1966,
70,the shadows of knight,the shadows of knight,71,gloria,1966,
71,the supremes,the supremes,72,my world is empty without you,1966,
72,the beach boys,the beach boys,73,barbara ann,1966,
73,bob dylan,bob dylan,74,rainy day women #12 & 35,1966,
74,the sandpipers,the sandpipers,75,guantanamera,1966,
75,james & bobby purify,james & bobby purify,76,i'm your puppet,1966,
76,wilson pickett,wilson pickett,77,land of 1000 dances,1966,
77,the shades of blue,the shades of blue,78,oh how happy,1966,
78,peter and gordon,peter and gordon,79,woman,1966,
79,the turtles,the turtles,80,you baby,1966,
80,the chiffons,the chiffons,81,sweet talkin' guy,1966,
81,the vogues,the vogues,82,five o'clock world,1966,
82,los bravos,los bravos,83,black is black,1966,
83,the beatles,the beatles,84,nowhere man,1966,
84,herman's hermits,herman's hermits,85,dandy,1966,
85,slim harpo,slim harpo,86,baby scratch my back,1966,
86,gary lewis & the playboys,gary lewis & the playboys,87,just my style,1966,
87,chris montez,chris montez,88,the more i see you,1966,
88,bobby fuller four,bobby fuller,89,i fought the law,1966,
89,the beatles,the beatles,90,yellow submarine,1966,
90,paul revere & the raiders,paul revere & the raiders,91,hungry,1966,
91,herb alpert and the tijuana brass,herb alpert and the tijuana brass,92,zorba the greek,1966,
92,the yardbirds,the yardbirds,93,shapes of things,1966,
93,the association,the association,94,along comes mary,1966,
94,wilson pickett,wilson pickett,95,"634-5789 (soulsville, u.s.a.)",1966,
95,mitch ryder & the detroit wheels,mitch ryder,96,devil with a blue dress on,1966,
96,the beach boys,the beach boys,97,wouldn't it be nice,1966,
97,the isley brothers,the isley brothers,98,this old heart of mine,1966,
98,gary lewis & the playboys,gary lewis & the playboys,99,green grass,1966,
99,the kinks,the kinks,100,a well respected man,1966,
0,lulu,lulu,1,to sir with love,1967,
1,the box tops,the box tops,2,the letter,1967,
2,bobbie gentry,bobbie gentry,3,ode to billie joe,1967,
3,the association,the association,4,windy,1967,
4,the monkees,the monkees,5,i'm a believer,1967,
5,the doors,the doors,6,light my fire,1967,
6,frank  &  nancy sinatra,frank sinatra,7,somethin' stupid,1967,
7,the turtles,the turtles,8,happy together,1967,
8,the young rascals,the rascals,9,groovin',1967,
9,frankie valli,frankie valli,10,can't take my eyes off you,1967,
10,the music explosion,the music explosion,11,little bit o' soul,1967,
11,tommy james and the shondells,tommy james and the shondells,12,i think we're alone now,1967,
12,aretha franklin,aretha franklin,13,respect,1967,
13,stevie wonder,stevie wonder,14,i was made to love her,1967,
14,bobby vee,bobby vee,15,come back when you grow up,1967,
15,the buckinghams,the buckinghams,16,kind of a drag,1967,
16,arthur conley,arthur conley,17,sweet soul music,1967,
17,the soul survivors,the soul survivors,18,expressway to your heart,1967,
18,sam & dave,sam & dave,19,soul man,1967,
19,the association,the association,20,never my love,1967,
20,jay & the techniques,jay & the techniques,21,"apples, peaches, pumpkin pie",1967,
21,every mother's son,every mother's son,22,come on down to my boat,1967,
22,strawberry alarm clock,strawberry alarm clock,23,incense and peppermints,1967,
23,the rolling stones,the rolling stones,24,ruby tuesday,1967,
24,vikki carr,vikki carr,25,it must be him,1967,
25,the supremes,the supremes,26,love is here and now you're gone,1967,
26,buffalo springfield,buffalo springfield,27,for what it's worth,1967,
27,brenton wood,brenton wood,28,gimme little sign,1967,
28,the supremes,the supremes,29,the happening,1967,
29,the beatles,the beatles,30,all you need is love,1967,
30,engelbert humperdinck,engelbert humperdinck,31,release me,1967,
31,marvin gaye  &  tammi terrell,marvin gaye,32,your precious love,1967,
32,jefferson airplane,jefferson airplane,33,somebody to love,1967,
33,the esquires,the esquires,34,get on up,1967,
34,van morrison,van morrison,35,brown eyed girl,1967,
35,martha and the vandellas,martha and the vandellas,36,jimmy mack,1967,
36,the happenings,the happenings,37,i got rhythm,1967,
37,procol harum,procol harum,38,a whiter shade of pale,1967,
38,the buckinghams,the buckinghams,39,don't you care,1967,
39,the casinos,the casinos,40,then you can tell me goodbye,1967,
40,the supremes,the supremes,41,reflections,1967,
41,the hollies,the hollies,42,on a carousel,1967,
42,bobby vinton,bobby vinton,43,please love me forever,1967,
43,dionne warwick,dionne warwick,44,alfie,1967,
44,the tremeloes,the tremeloes,45,silence is golden,1967,
45,ed ames,ed ames,46,my cup runneth over,1967,
46,the 5th dimension,the 5th dimension,47,"up, up and away",1967,
47,scott mckenzie,scott mckenzie,48,san francisco (be sure to wear flowers in your hair),1967,
48,the cowsills,the cowsills,49,"the rain, the park & other things",1967,
49,herman's hermits,herman's hermits,50,there's a kind of hush,1967,
50,the buckinghams,the buckinghams,51,"mercy, mercy, mercy",1967,
51,petula clark,petula clark,52,this is my song,1967,
52,jackie wilson,jackie wilson,53,(your love keeps lifting me) higher and higher,1967,
53,the young rascals,the rascals,54,i've been lonely too long,1967,
54,the beatles,the beatles,55,penny lane,1967,
55,the temptations,the temptations,56,you're my everything,1967,
56,the seekers,the seekers,57,georgy girl,1967,
57,five americans,five americans,58,western union,1967,
58,aretha franklin,aretha franklin,59,baby i love you,1967,
